method,shape_score_threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,present_dominant_found_rate,small_n,small_lesionwise_mean,small_dominant_found_rate,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_dominant_found_rate,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_dominant_found_rate,large_lesion_tp,large_lesion_fn,large_lesion_fp,large_detection_ratio,keeps_large_detection_90pct
otsu_T1c,0.55,100,33,0.0,0.0,0,0.014925373134328358,31,0.0,0.0,0,66,0,19,0.0,0.0,0,55,0,17,0.013103546465144437,0.058823529411764705,1,58,0,0.07435141304068209,False
sustraccion,0.0,100,33,0.9393939393939394,76152.0,134906,0.9104477611940298,31,0.003375641289721898,0.8387096774193549,50,16,5244,19,0.005380101364847322,0.9473684210526315,41,14,2990,17,0.008672524188809535,1.0,38,21,2086,0.04920915339848619,False
sustraccion,0.001,100,33,0.8484848484848485,53622.0,121174,0.8507462686567164,31,0.0033716241312699174,0.7419354838709677,45,21,5240,19,0.005345197229057942,0.8947368421052632,38,17,2990,17,0.0085377570186906,1.0,36,23,2086,0.04844446503289825,False
sustraccion,0.005,100,33,0.7272727272727273,12463.0,110089,0.7761194029850746,31,0.0033741208690766405,0.6774193548387096,41,25,5228,19,0.00506456543093679,0.7368421052631579,33,22,2983,17,0.0074843104939645855,1.0,33,26,2080,0.04246705747498858,False
sustraccion,0.01,100,33,0.7272727272727273,12463.0,110089,0.746268656716418,31,0.00337025850077615,0.6451612903225806,40,26,5228,19,0.005065439134054223,0.7368421052631579,33,22,2982,17,0.006716142965321042,0.9411764705882353,32,27,2078,0.03810836409693701,False
sustraccion,0.02,100,33,0.7272727272727273,12463.0,110089,0.746268656716418,31,0.00337180758957142,0.6451612903225806,40,26,5227,19,0.005065439134054223,0.7368421052631579,33,22,2982,17,0.006716142965321042,0.9411764705882353,32,27,2078,0.03810836409693701,False
sustraccion,0.05,100,33,0.696969696969697,12262.0,50019,0.7313432835820896,31,0.0033161498733014533,0.6129032258064516,38,28,5225,19,0.005023598585084025,0.7368421052631579,32,23,2982,17,0.006708785297846857,0.9411764705882353,31,28,2078,0.03806661563022654,False
sustraccion,0.1,100,33,0.696969696969697,12262.0,50019,0.7164179104477612,31,0.003292423216667625,0.5806451612903226,37,29,5224,19,0.005023598585084025,0.7368421052631579,32,23,2981,17,0.0056499892785081204,0.9411764705882353,31,28,2076,0.032058854268133596,False
sustraccion,0.2,100,33,0.6060606060606061,11426.0,50019,0.7164179104477612,31,0.0032945142021552393,0.5806451612903226,37,29,5221,19,0.005028822938632067,0.7368421052631579,32,23,2974,17,0.00566097359826338,0.9411764705882353,31,28,2074,0.03212118088308984,False
sustraccion,0.3,100,33,0.5454545454545454,10580.0,50019,0.7164179104477612,31,0.0031754599611823714,0.5806451612903226,36,30,5219,19,0.005030415193878549,0.7368421052631579,32,23,2972,17,0.005674838033080639,0.9411764705882353,31,28,2073,0.0321998496864108,False
sustraccion,0.4,100,33,0.5151515151515151,10206.0,50019,0.7014925373134329,31,0.0031616121133473435,0.5483870967741935,35,31,5214,19,0.004960572115650345,0.7368421052631579,32,23,2969,17,0.005676607272054004,0.9411764705882353,31,28,2072,0.03220988860358687,False
sustraccion,0.5,100,33,0.45454545454545453,9711.0,50019,0.7014925373134329,31,0.003150014286802616,0.5483870967741935,34,32,5205,19,0.004964199004366253,0.7368421052631579,32,23,2964,17,0.005676607272054004,0.9411764705882353,31,28,2072,0.03220988860358687,False
sustraccion,0.55,100,33,0.42424242424242425,9679.0,50019,0.7014925373134329,31,0.003150014286802616,0.5483870967741935,34,32,5203,19,0.0049704477131806354,0.7368421052631579,32,23,2961,17,0.0056781072033332105,0.9411764705882353,31,28,2066,0.03221839943005431,False
variational_spline,0.0,100,33,0.9696969696969697,18837.0,278959,0.4925373134328358,31,0.0007354880872298963,0.1935483870967742,6,60,25,19,0.0232966704206774,0.6842105263157895,13,42,6,17,0.17623802869724492,0.8235294117647058,14,45,3,1.0000000000000002,True
variational_spline,0.001,100,33,0.7878787878787878,15792.0,142154,0.40298507462686567,31,0.0005591394874500111,0.06451612903225806,2,64,24,19,0.019028270637806457,0.5789473684210527,11,44,6,17,0.17623802869724492,0.8235294117647058,14,45,3,1.0000000000000002,True
