case_id,method,dice_recomputed,dice_csv,dice_abs_diff,jaccard_recomputed,jaccard_csv,jaccard_abs_diff,vol_gt_recomputed,vol_gt_csv,vol_pred_recomputed,vol_pred_csv
BraTS-GLI-02078-100,variational_spline,0.0,0.0,0.0,0.0,0.0,0.0,21072,21072,13220,13220
BraTS-GLI-02086-100,bspline,0.43463153322716086,0.4346,3.15332271608737e-05,0.27765445800961897,0.2777,4.5541990381037234e-05,26344,26344,8191,8191
BraTS-GLI-02086-100,fast_marching,0.33618797341165557,0.3362,1.2026588344427047e-05,0.20205886725137506,0.2021,4.11327486249391e-05,26344,26344,6001,6001
BraTS-GLI-02086-100,gmm_2d,0.331269097575881,0.3313,3.090242411896149e-05,0.19851558875949118,0.1985,1.558875949117522e-05,26344,26344,120926,120926
BraTS-GLI-02086-100,gmm_T1c,0.4862148190695003,0.4862,1.4819069500293658e-05,0.3211914247770821,0.3212,8.575222917861502e-06,26344,26344,8476,8476
BraTS-GLI-02086-100,level_set,0.2154148190772772,0.2154,1.48190772771839e-05,0.12070862258639657,0.1207,8.622586396569987e-06,26344,26344,3199,3199
BraTS-GLI-02086-100,otsu_T1c,0.4451788032574059,0.4452,2.1196742594098428e-05,0.28632154243206315,0.2863,2.1542432063148542e-05,26344,26344,7548,7548
BraTS-GLI-02086-100,rango_doble,0.19112058789932604,0.1911,2.0587899326046655e-05,0.10565689819940809,0.1057,4.310180059191593e-05,26344,26344,236286,236286
BraTS-GLI-02086-100,spline,0.48596949765918945,0.486,3.0502340810534267e-05,0.3209773494707288,0.321,2.2650529271195374e-05,26344,26344,8473,8473
BraTS-GLI-02086-100,sustraccion,0.4393242954946568,0.4393,2.4295494656767502e-05,0.28149620976761525,0.2815,3.790232384726089e-06,26344,26344,76778,76778
BraTS-GLI-02086-100,variational_spline,0.4643112983180034,0.4643,1.1298318003394314e-05,0.30234727768033737,0.3023,4.7277680337354244e-05,26344,26344,8555,8555
BraTS-GLI-02102-100,bspline,0.4820761983764887,0.4821,2.3801623511288117e-05,0.3175891950971973,0.3176,1.0804902802696859e-05,48654,48654,35731,35731
BraTS-GLI-02102-100,fast_marching,0.22891347723562488,0.2289,1.3477235624892447e-05,0.1292503072511266,0.1293,4.969274887339781e-05,48654,48654,6476,6476
BraTS-GLI-02102-100,gmm_2d,0.3839645500567146,0.384,3.544994328541495e-05,0.23759661340980473,0.2376,3.3865901952756516e-06,48654,48654,177919,177919
BraTS-GLI-02102-100,gmm_T1c,0.48859337922608836,0.4886,6.620773911614197e-06,0.32327063578423754,0.3233,2.9364215762439638e-05,48654,48654,36472,36472
BraTS-GLI-02102-100,level_set,0.4820761983764887,0.4821,2.3801623511288117e-05,0.3175891950971973,0.3176,1.0804902802696859e-05,48654,48654,35731,35731
BraTS-GLI-02102-100,otsu_T1c,0.5502951218500753,0.5503,4.878149924669728e-06,0.3795911361989397,0.3796,8.86380106029927e-06,48654,48654,23689,23689
BraTS-GLI-02102-100,rango_doble,0.33665821751017133,0.3367,4.1782489828667835e-05,0.20239870185082062,0.2024,1.2981491793739863e-06,48654,48654,152155,152155
BraTS-GLI-02102-100,spline,0.4820761983764887,0.4821,2.3801623511288117e-05,0.3175891950971973,0.3176,1.0804902802696859e-05,48654,48654,35731,35731
BraTS-GLI-02102-100,sustraccion,0.49510730293166055,0.4951,7.302931660568834e-06,0.32899840892056437,0.329,1.5910794356477354e-06,48654,48654,52415,52415
BraTS-GLI-02102-100,variational_spline,0.4820761983764887,0.4821,2.3801623511288117e-05,0.3175891950971973,0.3176,1.0804902802696859e-05,48654,48654,35731,35731
BraTS-GLI-02108-100,bspline,0.537798323855982,0.5378,1.6761440179147158e-06,0.36780037434659063,0.3678,3.743465906147492e-07,96643,96643,44395,44395
BraTS-GLI-02108-100,fast_marching,0.07871517795181918,0.0787,1.5177951819170254e-05,0.04097007223942208,0.041,2.9927760577919127e-05,96643,96643,4227,4227
BraTS-GLI-02108-100,gmm_2d,0.6908761926045004,0.6909,2.3807395499564343e-05,0.5277393846950182,0.5277,3.9384695018296334e-05,96643,96643,180796,180796
BraTS-GLI-02108-100,gmm_T1c,0.5374146282650477,0.5374,1.4628265047722522e-05,0.36744154471308177,0.3674,4.154471308176477e-05,96643,96643,44358,44358
BraTS-GLI-02108-100,level_set,0.537798323855982,0.5378,1.6761440179147158e-06,0.36780037434659063,0.3678,3.743465906147492e-07,96643,96643,44395,44395
BraTS-GLI-02108-100,otsu_T1c,0.6336571811573927,0.6337,4.281884260737279e-05,0.46376148973662906,0.4638,3.851026337092778e-05,96643,96643,57030,57030
BraTS-GLI-02108-100,rango_doble,0.5888319076837308,0.5888,3.19076837308474e-05,0.4172656049197026,0.4173,3.439508029740024e-05,96643,96643,201116,201116
