holdout_fold,method,k,train_absent_flood_rate,train_absent_median_fp_vox,train_large_lesionwise_mean,train_large_own_baseline_mean,train_large_retention_vs_own_baseline,train_keeps_90pct_large,selected_k_for_fold_method,selection_policy,is_selected
0,sustraccion,1,0.9230769230769231,63104.0,0.17662219528574497,0.009449864887366299,18.690446624467032,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
0,gmm_2d,0,0.0,0.0,0.0,0.0039038230892661126,0.0,False,,,False
0,gmm_2d,1,0.9230769230769231,71628.0,0.07139742297502898,0.0039038230892661126,18.289103102889612,True,,,False
0,gmm_2d,2,0.9615384615384616,75157.0,0.04892411925331021,0.0039038230892661126,12.532360748577762,True,,,False
0,gmm_2d,3,0.9615384615384616,76907.0,0.03744737195042292,0.0039038230892661126,9.592486927337356,True,,,False
0,gmm_2d,4,0.9615384615384616,78168.5,0.030438273880593288,0.0039038230892661126,7.79704233121779,True,,,False
0,gmm_2d,5,0.9615384615384616,78860.5,0.02568079809342241,0.0039038230892661126,6.57837138266688,True,,,False
0,gmm_2d,1,0.9230769230769231,71628.0,0.07139742297502898,0.0039038230892661126,18.289103102889612,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
0,variational_spline,0,0.0,0.0,0.0,0.18160149273171555,0.0,False,,,False
0,variational_spline,1,0.9615384615384616,19352.5,0.18160149273171555,0.18160149273171555,1.0,True,,,False
0,variational_spline,2,0.9615384615384616,19352.5,0.18160149273171555,0.18160149273171555,1.0,True,,,False
0,variational_spline,3,0.9615384615384616,19352.5,0.18160149273171555,0.18160149273171555,1.0,True,,,False
0,variational_spline,4,0.9615384615384616,19352.5,0.18160149273171555,0.18160149273171555,1.0,True,,,False
0,variational_spline,5,0.9615384615384616,19352.5,0.18160149273171555,0.18160149273171555,1.0,True,,,False
0,variational_spline,1,0.9615384615384616,19352.5,0.18160149273171555,0.18160149273171555,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
1,otsu_T1c,0,0.0,0.0,0.0,0.18684175964881433,0.0,False,,,False
1,otsu_T1c,1,0.9615384615384616,16554.0,0.18684175964881433,0.18684175964881433,1.0,True,,,False
1,otsu_T1c,2,0.9615384615384616,16554.0,0.18684175964881433,0.18684175964881433,1.0,True,,,False
1,otsu_T1c,3,0.9615384615384616,16554.0,0.18684175964881433,0.18684175964881433,1.0,True,,,False
1,otsu_T1c,4,0.9615384615384616,16554.0,0.18684175964881433,0.18684175964881433,1.0,True,,,False
1,otsu_T1c,5,0.9615384615384616,16554.0,0.18684175964881433,0.18684175964881433,1.0,True,,,False
1,otsu_T1c,1,0.9615384615384616,16554.0,0.18684175964881433,0.18684175964881433,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
1,gmm_T1c,0,0.0,0.0,0.0,0.19209833766840997,0.0,False,,,False
1,gmm_T1c,1,1.0,19351.0,0.19209833766840997,0.19209833766840997,1.0,True,,,False
1,gmm_T1c,2,1.0,19351.0,0.19209833766840997,0.19209833766840997,1.0,True,,,False
1,gmm_T1c,3,1.0,19351.0,0.19209833766840997,0.19209833766840997,1.0,True,,,False
1,gmm_T1c,4,1.0,19351.0,0.19209833766840997,0.19209833766840997,1.0,True,,,False
1,gmm_T1c,5,1.0,19351.0,0.19209833766840997,0.19209833766840997,1.0,True,,,False
1,gmm_T1c,1,1.0,19351.0,0.19209833766840997,0.19209833766840997,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
1,sustraccion,0,0.0,0.0,0.0,0.00977184457172237,0.0,False,,,False
1,sustraccion,1,0.9230769230769231,66272.5,0.17592981495961016,0.00977184457172237,18.00374675101909,True,,,False
1,sustraccion,2,0.9230769230769231,66867.0,0.11548298598998889,0.00977184457172237,11.81793111243009,True,,,False
1,sustraccion,3,0.9230769230769231,67252.0,0.08904233561562638,0.00977184457172237,9.11213179477863,True,,,False
1,sustraccion,4,0.9230769230769231,67337.5,0.071988720446825,0.00977184457172237,7.366953078147085,True,,,False
1,sustraccion,5,0.9230769230769231,67715.0,0.06056429139737568,0.00977184457172237,6.197836135527144,True,,,False
1,sustraccion,1,0.9230769230769231,66272.5,0.17592981495961016,0.00977184457172237,18.00374675101909,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
1,gmm_2d,0,0.0,0.0,0.0,0.004699413988419063,0.0,False,,,False
1,gmm_2d,1,0.8846153846153846,79611.5,0.08531419855924985,0.004699413988419063,18.154220668681827,True,,,False
1,gmm_2d,2,0.9230769230769231,81137.5,0.0596260023053868,0.004699413988419063,12.687965446824927,True,,,False
1,gmm_2d,3,0.9230769230769231,81993.5,0.045829792139037206,0.004699413988419063,9.752235545107801,True,,,False
1,gmm_2d,4,0.9230769230769231,82749.5,0.03728661313808902,0.004699413988419063,7.934311220500211,True,,,False
1,gmm_2d,5,0.9230769230769231,83031.0,0.031458949258584216,0.004699413988419063,6.694228117826957,True,,,False
1,gmm_2d,1,0.8846153846153846,79611.5,0.08531419855924985,0.004699413988419063,18.154220668681827,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
1,variational_spline,0,0.0,0.0,0.0,0.19885488417639863,0.0,False,,,False
1,variational_spline,1,1.0,19352.5,0.19885488417639863,0.19885488417639863,1.0,True,,,False
1,variational_spline,2,1.0,19352.5,0.19885488417639863,0.19885488417639863,1.0,True,,,False
1,variational_spline,3,1.0,19352.5,0.19885488417639863,0.19885488417639863,1.0,True,,,False
1,variational_spline,4,1.0,19352.5,0.19885488417639863,0.19885488417639863,1.0,True,,,False
1,variational_spline,5,1.0,19352.5,0.19885488417639863,0.19885488417639863,1.0,True,,,False
