prior_stage,method,construction_type,mode,threshold,absent_flood_rate,absent_median_fp_vox,large_lesionwise,large_detection_ratio,keeps_large_detection_90pct,source
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.0,1.0,94636.0,0.0042083640030742,0.0238788644776759,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.001,0.9696969696969696,80673.0,0.0041550392334637,0.0235762920419494,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.005,0.9696969696969696,28427.0,0.0034439480630894,0.0195414581549012,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.01,0.9393939393939394,21418.0,0.0034439480630894,0.0195414581549012,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.02,0.9393939393939394,21418.0,0.0032616652243792,0.0185071590308265,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.05,0.9393939393939394,20540.0,0.0031437924042299,0.017838331644248,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.1,0.9393939393939394,20383.0,0.00270497490395,0.0153484178411732,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.2,0.9090909090909092,18984.0,0.00270497490395,0.0153484178411732,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.3,0.9090909090909092,17967.0,0.0027170418609463,0.0154168874960235,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.4,0.8787878787878788,17449.0,0.0027170418609463,0.0154168874960235,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.5,0.8787878787878788,17449.0,0.0027218586790642,0.0154442188169275,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_2d,intensity/statistical,shape_score_threshold,0.55,0.8787878787878788,17449.0,0.0027219860258703,0.0154449414010774,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.0,0.9696969696969696,18837.0,0.1706676623760037,0.9683929378782924,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.001,0.9696969696969696,18837.0,0.1706676623760037,0.9683929378782924,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
